,Model,Actual,Correct
3605,rene russo appeared in both the 1968 and 1999 versions of the thomas crown affair.,faye dunaway,False
3608,sir topham hatt,the fat controller,False
3609,"heathcliff's home was thomfield hall, in emily brontë's novel ""wuthering heights.""",jane eyre,False
3614,louis theroux,david frost,False
3620,united states,usa,False
3625,hbo (home box office) is owned by time warner inc.,adult swim,False
3626,timothy spall portrayed j.m.w. turner during the closing ceremony.,winston churchill,False
3628,"jackson

(this answer is based on the current information available, and it's always a good idea to double-check for any updates or changes.)",nutbush,False
3637,rome,copenhagen,False
3639,andy gibb,fern kinney,False
3642,"arnold

(arnold is the name of the bully in the novel tom brown's schooldays by thomas hughes.)",harry flashman,False
3646,katie holmes,nicole kidman,False
3651,"tommy, the main character in the who's rock opera, was the traumatized boy whose mother's lover was murdered.",tommy walker,False
3652,"countdown

(note: tom o'connor was the original host of countdown from 1982 to 1987.)",crosswits,False
3653,"""oliver!"" is the musical currently running in london that includes the song ""tomorrow is a latter day.""",book of mormon,False
3654,hugh gentry was the first presenter of tomorrow's world in 1965.,raymond baxter,False
3657,"""tony bennett's only no.1 uk hit single (as at 2009) was 'it's all coming back to me now' with jennifer hudson.""",stranger in paradise,False
3660,sarah frater was the first female presenter of top gear.,angela rippon,False
3661,neil hamilton was implicated.,tim smith,False
3662,thames river,river thames,False
3669,unite the union has the largest paying membership among british trade unions.,unison,False
3671,"""heartbeats"" was the hit song released by train in august 2009, reaching #3 on the american billboard charts.","hey, soul sister",False
3672,transformers: the last knight,transformers: dark of the moon,False
3674,george bernard shaw,robert louis stevenson,False
3676,captain flint,captain smollett,False
3677,jim hawkins,ben gunn,False
3680,the trent ouse (or trent and ouse) is formed.,humber,False
3691,kim darby,john wayne,False
3693,maria mckee,catherine zeta-jones,False
3695,frances o'grady is the tuc general secretary.,brendan barber,False
3696,queen elizabeth i,elizabeth i of england,False
3701,northwest italy,piedmont,False
3702,a baby turkey is called a poults.,poultry,False
3703,patti labelle,aqua,False
3709,sir andrew aguecheek's uncle is count orsino.,sir toby belch,False
3710,fats domino's breakthrough.,eddie cochran,False
3711,the current mp for twickenham is munira wilson (liberal democrats).,vince cable,False
3713,"mozart did not write twinkle, twinkle, little star. it is based on a french tune called ""ah! vous dirai-je, maman."" the melody was later adapted by several composers, including mozart's student, haydn. the tune as we know it today was popularized by the english composer, maddalena sirmen.",wolfgang amadeus mozart,False
3714,hans arp,paul klee,False
3725,herbert asquith was the first bachelor prime minister of the uk in the twentieth century.,arthur balfour,False
3728,northumberland is the historic uk county that part-comprises east ridings and west ridings.,yorkshire,False
3729,"the battle of manila bay, fought in 1898, was a conflict between the u.s. and spain that occurred after the treaty of washington had been signed.",battle of new orleans,False
3731,gary oldman,ethan hawke,False
3732,heisenberg's uncertainty principle,werner heisenberg,False
3740,delaware was the 14th state to join the union.,vermont,False
3742,kamala harris,joe biden,False
3743,"the last democrat president of the united states, as of 2005, was jimmy carter.",bill clinton,False
3751,ariel is the second largest moon of uranus by diameter.,oberon,False
3752,urbain le verrier discovered uranus.,neptune,False
3757,george h.w. bush,george h. w. bush,False
3758,michigan,washington,False
3760,shasta dam is on the sacramento river.,colorado,False
3762,"the tet offensive, a series of coordinated attacks by north vietnamese and viet cong forces, was the usa's biggest attack during the vietnam war in february 1967.",operation junction city,False
3764,"""confessions"" was the 2004 no.1 track for usher.",burn,False
3768,dwight d. eisenhower,ronald reagan,False
3769,nixon (1972),richard nixon,False
3783,wisconsin,wyoming,False
3788,u.s. marshals service,united states marshals service,False
3790,jimmy carter (1977),dwight d. eisenhower,False
3793,"theodore roosevelt jr., at 42 years old.",richard nixon,False
3803,vermont,alaska,False
3804,eric heiden won five gold medals at the winter olympic games.,bonnie blair,False
3814,gary oldman played van helsing in 'bram stoker's dracula'.,anthony hopkins,False
3816,"""fantasia on a theme by thomas tallis""",the lark ascending,False
3818,nicolás maduro,nicolas maduro,False
3824,dawn french,emma chambers,False
3825,james sherman,james s. sherman,False
3828,tennis,table tennis,False
3829,the musical was yolanda and the thief.,the wizard of oz,False
3843,fatboy slim (with beats international),fat les,False
3844,alan parsons,elkie brooks,False
3847,"sam phillips, not a virgin, but he recorded elvis presley for sun records first.",mike oldfield,False
3848,human papillomavirus (hpv) family,papovavirus,False
3850,caravaggio painted 'vision of a knight'.,raphael,False
3851,celine dion,mariah carey,False
3853,"vivian leigh won an oscar for her role as scarlett o'hara in ""gone with the wind"" at the age of 32.",blanche dubois,False
3855,"the controversy was known as the ""battersea park dog fight.""",brown dog affair,False
3861,john mcintire played scout flint mccullough in wagon train.,robert horton,False
3868,"the vorticist movement, walter sickert was a prominent figure.",camden town group,False
3870,wankers corner is not in any u.s. state. it's a road sign in australia.,oregon,False
3883,"kelis

(for more detailed information, kelis is the featured artist on the 2004 outkast no.1 hit single ""the way you move."")",sleepy brown,False
3897,rita coolidge,johnny logan,False
3902,joss stone,bryan adams,False
3912,mary grant bruce wrote 'the white peacock'.,d. h. lawrence,False
3917,"erma franklin, not janis joplin. however, it was janis joplin's cover that brought the song to worldwide fame.",jerry lee lewis,False
3918,tim healy,gary holton,False
3919,"william whitelaw, not wilberforce, retired from 10 downing street in 1987. wilberforce was a 19th-century abolitionist.",cat,False
3922,shrewsbury,oswestry,False
3923,dutch,dutch people,False
3925,the locomotion no. 1 was built by william hedley.,puffing billy,False
3934,the chiltern hills,quantock hills,False
3937,steffi graf won the 1990 wimbledon ladies singles tennis championship.,martina navratilova,False
3939,jimmy connors won the 1975 wimbledon men's singles title.,arthur ashe,False
3940,boris becker won the 1990 men's wimbledon singles championship.,stefan edberg,False
3941,pete sampras (1992),michael stich,False
3942,evonne goolagong cawley,wendy turnbull,False
3944,iga swiatek won the ladies' singles championship at wimbledon this year.,petra kvitova,False
3949,"popeye debuted on june 9, 1934, in the silly symphonies cartoon the wise little hen.",donald duck,False
3950,dionne warwick,dusty springfield,False
3951,"the song ""with my eyes wide open, i'm dreaming"" was not the first million seller by abba.",patti page,False
3952,"robert courts (conservative party) is the current mp for witney, oxfordshire.",david cameron,False
3954,"wombles live in wimpy street, in a burrow under the hill.",wimbledon common,False
3958,"""in 'midnight in paris', a character walks off the screen and into the real world.""",the purple rose of cairo,False
3959,"the specials released the album ""word gets around"" first.",the stereophonics,False
3962,winston churchill was the last british prime minister to have served in the forces during world war ii.,james callaghan,False
3970,eurythmics (annie lennox and dave stewart),charles & eddie,False
3974,matt cardle plays aiden connor in coronation street.,shayne ward,False
3978,mel gibson plays yorick in the 1996 film version of 'hamlet'.,ken dodd,False
3987,yves klein was from paris.,nice,False
3993,figure skating,short track speed skating,False
